,rank,beer_name,brewery,style,alcohol_pct,n_ratings,avg_rating,substyle,general_style,province,prov_id,count
0,1,Péché Mortel - Bourbon,Brasserie Dieu du Ciel!,Stout - American Imperial,9.5,612,4.45,American Imperial,Stout,Quebec,24,34
1,2,Péché Mortel,Brasserie Dieu du Ciel!,Stout - American Imperial,9.5,5364,4.41,American Imperial,Stout,Quebec,24,34
2,3,Nectarous,Four Winds Brewing Co.,Wild Ale,5.5,129,4.44,,Wild Ale,British Columbia,59,25
3,4,Sartori Harvest IPA,Driftwood Brewery,IPA - American,7.0,119,4.4,American,IPA,British Columbia,59,25
4,5,La Fin Du Monde,Unibroue,Tripel,9.0,10640,4.32,,Tripel,Quebec,24,34
5,6,BOYD (Bring Out Your Dead),Bellwoods Brewery,Stout - Russian Imperial,11.7,142,4.32,Russian Imperial,Stout,Ontario,35,32
6,7,Raised By Wolves IPA,Driftwood Brewery,IPA - American,7.0,85,4.31,American,IPA,British Columbia,59,25
7,8,Moralité,Brasserie Dieu du Ciel!,IPA - American,6.9,383,4.27,American,IPA,Quebec,24,34
8,9,Fat Tug IPA,Driftwood Brewery,IPA - American,7.0,727,4.26,American,IPA,British Columbia,59,25
9,10,Grande Cuvée Porter Baltique,Les Trois Mousquetaires,Porter - Baltic,10.0,501,4.26,Baltic,Porter,Quebec,24,34
10,11,Colour And Shape,Superflux Beer Company,IPA - New England,6.8,42,4.34,New England,IPA,British Columbia,59,25
11,12,Singularity,Driftwood Brewery,Stout - Russian Imperial,11.8,184,4.27,Russian Imperial,Stout,British Columbia,59,25
12,13,Café Del Bastardo,Nickel Brook Brewing Co.,Stout - American Imperial,11.9,89,4.29,American Imperial,Stout,Ontario,35,32
13,14,Invictus,Flying Monkeys Craft Brewery,Stout - Russian Imperial,18.1,13,4.53,Russian Imperial,Stout,Ontario,35,32
14,15,Solstice D'été Aux Framboises,Brasserie Dieu du Ciel!,Sour - Berliner Weisse,5.9,420,4.25,Berliner Weisse,Sour,Quebec,24,34
15,16,Nordet IPA,Brasserie Auval,IPA - American,6.0,15,4.47,American,IPA,Quebec,24,34
16,17,THRUST! ...an IPA,Great Lakes Brewery,IPA - New England,6.5,134,4.26,New England,IPA,Ontario,35,32
17,18,Grande Cuvée Porter Baltique - Fûts De Bourbon Et Brandy,Les Trois Mousquetaires,Porter - Baltic,10.0,132,4.26,Baltic,Porter,Quebec,24,34
18,19,Trois Pistoles,Unibroue,Strong Ale - Belgian Dark,9.0,5209,4.23,Belgian Dark,Strong Ale,Quebec,24,34
19,20,Grande Cuvée Déjeuner Impérial,Les Trois Mousquetaires,Stout - American Imperial,11.5,18,4.42,American Imperial,Stout,Quebec,24,34
20,21,Red Racer IPA (India Pale Ale),Central City Brewers + Distillers,IPA - American,6.5,1140,4.23,American,IPA,British Columbia,59,25
21,22,Le Temps Noir,Half Pints Brewing Company,Stout - Russian Imperial,9.6,54,4.28,Russian Imperial,Stout,Manitoba,46,2
22,23,Naughty Hildegard ESB,Driftwood Brewery,Bitter - English Extra Special / Strong Bitter (ESB),6.5,144,4.24,English Extra Special / Strong Bitter (ESB),Bitter,British Columbia,59,25
23,24,Farmageddon (Niagara Montmorency Cherry),Bellwoods Brewery,Farmhouse Ale - Saison,6.3,47,4.28,Saison,Farmhouse Ale,Ontario,35,32
24,25,Yakima IPA,Microbrasserie Le Castor,IPA - American,6.5,218,4.22,American,IPA,Quebec,24,34
25,26,Origin of Darkness - Lervig,Collective Arts Brewing,Stout - American Imperial,11.6,25,4.33,American Imperial,Stout,Ontario,35,32
26,27,St-Ambroise Stout Impériale Russe,McAuslan Brewing,Stout - Russian Imperial,9.2,317,4.21,Russian Imperial,Stout,Quebec,24,34
27,28,Maudite,Unibroue,Dubbel,8.0,4871,4.2,,Dubbel,Quebec,24,34
28,29,Aphrodisiaque / Aphrodite,Brasserie Dieu du Ciel!,Stout - American,6.5,1718,4.2,American,Stout,Quebec,24,34
29,30,Vexillum,Four Winds Brewing Co.,IPA - Imperial,9.0,43,4.27,Imperial,IPA,British Columbia,59,25
30,31,IPA Du Nord-Est,Brasseurs Du Nord Inc.,IPA - New England,6.0,104,4.22,New England,IPA,Quebec,24,34
31,32,Karma Citra IPA,Great Lakes Brewery,IPA - American,6.6,153,4.21,American,IPA,Ontario,35,32
32,33,Super A,Brasserie Auval,IPA - Imperial,8.0,19,4.34,Imperial,IPA,Quebec,24,34
33,34,Double Tempest,Amsterdam Brewing Company,Stout - American Imperial,11.9,47,4.24,American Imperial,Stout,Ontario,35,32
34,35,Terrible,Unibroue,Quadrupel (Quad),10.5,2335,4.17,,Quadrupel (Quad),Quebec,24,34
35,36,Juicy AF,Boombox Brewing Company,IPA - New England,7.5,20,4.3,New England,IPA,British Columbia,59,25
36,37,Juxtapose,Four Winds Brewing Co.,IPA - American,6.5,138,4.18,American,IPA,British Columbia,59,25
37,38,Juicin',Sawdust City Brewing Co.,IPA - American,6.0,23,4.28,American,IPA,Ontario,35,32
38,39,Solstice D'hiver Réserve Spéciale En Fût De Bourbon,Brasserie Dieu du Ciel!,Barleywine - American,10.8,126,4.18,American,Barleywine,Quebec,24,34
39,40,Série Signature IPA,Les Trois Mousquetaires,IPA - American,6.0,50,4.21,American,IPA,Quebec,24,34
40,41,The Chocolate Manifesto,Flying Monkeys Craft Brewery,Stout - Sweet / Milk,10.0,495,4.16,Sweet / Milk,Stout,Ontario,35,32
41,42,Don De Dieu,Unibroue,Tripel,9.0,3040,4.15,,Tripel,Quebec,24,34
42,43,Laser Show,Left Field Brewery,IPA - New England,8.0,66,4.18,New England,IPA,Ontario,35,32
43,44,Hellwoods,Bellwoods Brewery,Stout - Russian Imperial,10.0,123,4.16,Russian Imperial,Stout,Ontario,35,32
44,45,Hors Série Ceci N'est Pas Une Gueuze,Les Trois Mousquetaires,Wild Ale,5.5,40,4.2,,Wild Ale,Quebec,24,34
