name,rank,brewery,style,n_ratings,avg_rating,beer_info_page,abv,BA_official_score,ranking_vs_all,rating_deviation,location,status,last_rated,date_added,n_wants,n_gots,country,state,style_family,substyle,notes
Ayinger Celebrator,1,Ayinger Privatbrauerei,Bock - Doppelbock,6976,4.34,/beer/profile/39/131/,6.7,96.0,883,9.91,Germany,Active,"May 21, 2022",2001-01-10,623,1142,Germany,,Bock,Doppelbock,"A beer that has a dominant malty taste. This beer’s origins in a monk’s recipe are reflected in its heartiness. The Pope of Beers, Conrad Seidl, describes it as: “Almost black with a very slight red tone, a sensational, festive foam and truly extraordinary fragrance that at first summons up visions of greaves lard. The first taste is of mild fullness with an accompanying coffee tone, which becomes more dominant with the aftertaste. There is very little of the sweetness that is frequently to be tasted with doppelbock beer.” The Ayinger Celebrator has been ranked among the best beers of the world by the Chicago Testing Institute several times and has won numerous medals."
Doppelbock Dunkel,2,Klosterbrauerei Andechs,Bock - Doppelbock,1316,4.28,/beer/profile/911/2899/,7.1,95.0,1546,9.81,Germany,Active,"May 25, 2022",2002-06-16,450,192,Germany,,Bock,Doppelbock,"This world famous bock from Bavaria’s Holy Mountain is not meant to be rushed, but savoured slowly. As solid as a rock, Andechser Doppelbock Dunkel presides over the evening meal with a colour reminiscent of dark copper with nuances of fiery red. Its clear gleaming look harmonises with its firm, fine pored head.  Also the aroma delights the connoisseur: soft roasted accents and a nuance of dried fruit carrying a vein of caramel. This Doppelbock Dunkel from Bavaria’s Holy Mountain presents a pleasant effervescence. And then there’s the unmistakable flavour: mouthcoating and velvety, strong and yet pleasantly malty – a powerful, robust body. At the same time, it develops an easily recognisable sweetness, embraced in roasted cocoa and a light, bitter hoppiness.  Concluding with a powerful punch, this Doppelbock departs with a lingering aftertaste of quality plain chocolate. A strong Doppelbock that embodies the centuries old Benedictine brewing tradition, sip by delicious sip."
Convex Refraction,3,Jackie O's Pub & Brewery,Bock - Doppelbock,24,4.42,/beer/profile/1432/556187/,13.7,95.0,1772,5.88,Ohio,Active,"May 09, 2022",2021-06-26,1,0,USA,Ohio,Bock,Doppelbock,"Collaboration with Burial  Bourbon Barrel Aged Doppelbock Style Lager  A modern riff on (a) classic style, Convex Refraction adds Bourbon barrel aging and carefully crafted malt to the long-standing spirit of Doppelbock. Brewed with caramelized Triticale malt from Haus malts, this hefty lager aged in Bourbon barrels for 14 months after extended lagering."
Indikator,4,Schilling Beer Co.,Bock - Doppelbock,12,4.49,/beer/profile/32906/547137/,8.0,94.0,2641,5.35,New Hampshire,Active,"Apr 16, 2022",2021-05-01,1,0,USA,New Hampshire,Bock,Doppelbock,None
Weihenstephaner Korbinian,5,Bayerische Staatsbrauerei Weihenstephan,Bock - Doppelbock,2968,4.2,/beer/profile/252/779/,7.4,93.0,2948,9.05,Germany,Active,"May 30, 2022",2001-09-12,251,399,Germany,,Bock,Doppelbock,"Our Korbinian, the full-bodied, dark Doppelbock with light brown foam, wins beer-lovers over with a balance of fruity hints of plums and figs, a dark malt aroma - reminiscent of toffee, nuts and chocolate. Its roasted flavour goes well with smoked meat and fish as well as venison and poultry. Brewed according to our centuries-old brewing tradition on the Weihenstephan hill."
Afternoon Delight,6,Sun King Brewing Company,Bock - Doppelbock,120,4.22,/beer/profile/20672/98588/,10.1,93.0,3067,9.95,Indiana,Active,"Nov 13, 2021",2013-08-26,41,11,USA,Indiana,Bock,Doppelbock,German-style bock aged in a Pappy van Winkle bourbon barrels.
Gyrator Doppel,7,New Glarus Brewing Company,Bock - Doppelbock,54,4.23,/beer/profile/590/568522/,7.3,93.0,3535,7.09,Wisconsin,Active,Wednesday at 02:52 PM,2021-09-16,4,2,USA,Wisconsin,Bock,Doppelbock,"Close to Brewmaster Dan Carey’s heart, this Doppelbock’s journey began with Dan’s re-discovery of whole cone Diamant hops grown at his urging in Hallertau, Germany. Over ten years of his personal heritage barley research resulted in Dan choosing this seed propagation of Czech barley kilned as Pilsner Malt here is Wisconsin. He reveled in the challenge of double decoction brewing in his rescued 1962 copper Brewhouse, rehomed to New Glarus in 1997. This strong Bock lagered 10 weeks in the cellar before resting in the bottle 6 months for mature flavor perfection. Every journey begins with a single step."
St. Nikolaus Bock Bier - Brewer's Reserve,8,Pennsylvania Brewing Company,Bock - Doppelbock,190,4.18,/beer/profile/125/39722/,8.5,93.0,3825,9.09,Pennsylvania,Active,"Apr 15, 2022",2007-11-22,71,34,USA,Pennsylvania,Bock,Doppelbock,None
Troegenator - Bourbon Barrel-Aged,9,Tröegs Brewing Company,Bock - Doppelbock,337,4.15,/beer/profile/694/112218/,11.5,92.0,4546,8.92,Pennsylvania,Active,"Mar 03, 2021",2014-02-06,58,78,USA,Pennsylvania,Bock,Doppelbock,"The Troegenator has awoken! After hibernating for six months in bourbon barrels, we’re excited to report that Bourbon Barrel-Aged Troegenator is ready for release today at 11am. The barrel-aging process has transformed Troegenator into a lush Double Bock with undertones of vanilla, oak, and toasted coconut amid a warm blanket of tangy bourbon notes."
Tripper Bocker,10,Mikkeller Brewing San Diego,Bock - Doppelbock,28,4.21,/beer/profile/43889/287216/,12.0,92.0,5210,8.08,California,Active,"Dec 26, 2021",2017-06-18,1,3,USA,California,Bock,Doppelbock,Trippelbock Lager brewed with raspberries.
Schtüpulator,11,The Alchemist,Bock - Doppelbock,22,4.21,/beer/profile/46317/460498/,8.0,92.0,5823,8.55,Vermont,Active,"Jan 27, 2021",2020-01-18,2,3,USA,Vermont,Bock,Doppelbock,"Schtüpulator is a German-style Doppelbock. It was brewed with German Munich and Vienna malts, and hopped with German Hersbrucker. This beer will age beautifully at lager temperatures."
Weltenburger Kloster Asam-Bock,12,Klosterbrauerei Weltenburg,Bock - Doppelbock,609,4.1,/beer/profile/1315/3606/,6.9,91.0,6257,10.49,Germany,Active,"May 13, 2022",2002-05-06,72,68,Germany,,Bock,Doppelbock,"The Weltenburger Asam Bock owes its name to the ingenious, baroque painter and master builder Cosmas Damian Asam. The malt-stressed goat exudes light roasted aromas that give a hint of coffee. Friends and connoisseurs appreciate it especially for its strong-sweet, very aromatic and persistent taste until the finish. With its 6.9% alcohol content, it is the strongest beer from the Weltenburger family."
Apfelstrudel Doppelbock,13,Brouwerij het Uiltje,Bock - Doppelbock,14,4.24,/beer/profile/33873/307417/,11.0,91.0,6494,8.96,Netherlands,Active,"Jan 15, 2022",2017-10-16,2,2,Netherlands,,Bock,Doppelbock,"Ever wanted to make like Alice and enter a wonderland of your own? Well, to that we say ‘drink me’. This doppelbock is your golden ticket to a prelapsarian forest full of apples. Well… we did already pick those apples and baked it into a creamy Austrian pastry with vanilla, raisins and cinnamon. We used the best german malts and hops to get down this rabbit hole. Drink this portion and you’ll soon be consulting caterpillars, organizing mad tea parties and playing croquet with the queen. Yes, wonderland is yours for the taking. Just don’t lose your head down there."
The Cavern,14,Fox Farm Brewery,Bock - Doppelbock,11,4.28,/beer/profile/45832/592680/,7.0,91.0,6522,5.37,Connecticut,Active,"May 31, 2022",2022-03-02,0,0,USA,Connecticut,Bock,Doppelbock,"Introducing The Cavern-Smoked Doppelbock. Once again Thrall Family Malt prepared a small batch of custom smoked malt, this time their Connecticut-grown barley smoked over native oak. Rounding things out are a blend of local and German character malts along with strained additions of Spalt Select and Tettnang. The Cavern was lagered for over three months."
German Chocolate Cake - Bourbon Barrel-Aged,15,Lickinghole Creek Craft Brewery,Bock - Doppelbock,17,4.21,/beer/profile/32855/254274/,10.0,91.0,6599,6.89,Virginia,Active,"Oct 22, 2021",2016-10-26,3,3,USA,Virginia,Bock,Doppelbock,"Bourbon Barrel Aged Lager  Bourbon Barrel German Chocolate Cake is LCCB’s first example of a barrel aged lager. Lagers ferment for longer periods of time than ales and at much colder temperatures. Bourbon Barrel German Chocolate Cake is dark in color and deliciously innovative. Brewed with German Specialty Grains and German Hops, we aged it in Kentucky Bourbon Barrels and cold conditioned it on coconut, pecans, coco nibs and vanilla.   21 IBU 1.083 Original Gravity"
Tucher Bajuvator Doppelbock,16,Brauerei Tucher Brau,Bock - Doppelbock,269,4.09,/beer/profile/129/932/,7.2,91.0,6887,11.0,Germany,Active,"Apr 09, 2022",2001-07-17,68,21,Germany,,Bock,Doppelbock,None
Chopping Wood - Doppelbock Lager,17,Mountains Walking Brewery,Bock - Doppelbock,16,4.19,/beer/profile/51963/546211/,8.4,91.0,7386,4.3,Montana,Active,"Apr 15, 2022",2021-04-25,0,0,USA,Montana,Bock,Doppelbock,"Dark brown German bock beer made with 100% German malt and hopped with German Spalt Spalter. Decoction mashed and cold-conditioned for 2 months. Medium bodied with a complex web of flavors and notes of toffee, bread, and raisin."
Samichlaus Barrique,18,Brauerei Schloss Eggenberg,Bock - Doppelbock,34,4.11,/beer/profile/285/141842/,14.0,91.0,8048,10.71,Austria,Active,"Feb 21, 2022",2014-10-18,6,7,Austria,,Bock,Doppelbock,None
St. Victorious,19,Victory Brewing Company - Downingtown,Bock - Doppelbock,580,4.06,/beer/profile/345/1012/,7.6,91.0,8113,10.59,Pennsylvania,Active,"May 08, 2022",2002-03-27,111,25,USA,Pennsylvania,Bock,Doppelbock,Limited seasonal draft only release. Doppelbock brewed w/ smoked 2-row German malt from Bamberg.
Dark Doppelbock,20,Capital Brewery,Bock - Doppelbock,102,4.07,/beer/profile/368/989/,7.8,91.0,8306,8.11,Wisconsin,Active,"Dec 22, 2020",2002-03-29,19,7,USA,Wisconsin,Bock,Doppelbock,"Dark Doppelbock pays tribute with an assortment of smooth toasted malt flavors brewed for a rich brown colored, full-flavored experience."
Rauch Doppelbock - Heaven Hill Barrel-Aged,21,Dovetail Brewery,Bock - Doppelbock,10,4.22,/beer/profile/45802/546866/,10.4,91.0,8386,4.98,Illinois,Active,Yesterday at 01:21 AM,2021-04-30,0,0,USA,Illinois,Bock,Doppelbock,"Our 2021 Rauch Doppelbock, aged for four months on Heaven Hill Bourbon barrels. Expect a deep and complex occasion of smoke, wood, and whiskey."
Trendler Doppelbock,22,Tired Hands Brewing Company,Bock - Doppelbock,18,4.14,/beer/profile/28383/415309/,7.5,90.0,8586,6.04,Pennsylvania,Active,"May 12, 2022",2019-04-28,0,1,USA,Pennsylvania,Bock,Doppelbock,"Trendler Doppelbock is a tribute to our favorite strong lagers from Bavaria. This one, our first run at this monastic style, is built from a plethora of German malts and hopped lightly with Hallertau Mittelfrüh. Fermented extra cool with our house Lager strain and stored cold for roughly 3 months. Notes of medium toast, cantaloupe, light pecan, concord grape and toffee."
Autumnal Fire,23,Capital Brewery,Bock - Doppelbock,610,4.05,/beer/profile/368/991/,7.8,90.0,8617,10.12,Wisconsin,Active,"Nov 26, 2021",2002-01-26,82,39,USA,Wisconsin,Bock,Doppelbock,"With a deep copper hue and rich malty flavor this renowned doppelbock warms like burning embers of a mid-autumn fire as the nights grow cooler. You may be tempted to share, but keep this Fire for yourself. It’s that good!"
Winter Bock,24,KC Bier Co.,Bock - Doppelbock,24,4.11,/beer/profile/34069/149553/,8.25,90.0,8819,8.76,Missouri,Active,"Dec 12, 2021",2014-12-13,3,2,USA,Missouri,Bock,Doppelbock,"A dark, strong doppelbock lager, Winterbock’s rich malt flavors of chocolate and coffee with hints of molasses come from double decoction mashing with 100% imported German Munich and Pilsner malts. Its mild bitterness comes from 100% imported German Perle hops from Bavaria’s famous Hallertau Valley hop-growing region, while its clean, satisfyingly smooth finish comes from six weeks of cold lagering with pure lager yeast from Andechs, a Bavarian monastery brewery.  24 IBU"
Brücius,25,Schilling Beer Co.,Bock - Doppelbock,14,4.15,/beer/profile/32906/471765/,6.9,90.0,9046,3.13,New Hampshire,Active,"Sep 25, 2021",2020-03-05,0,1,USA,New Hampshire,Bock,Doppelbock,"Named for an esteemed and one-of-a-kind veterinarian from Michigan, this rich and toasty dark lager has aromas of sweet bread and caramel with flavors of light coffee and marshmallow. The finish is full-bodied and malty."
High Celebrant,26,WarPigs Brewing USA,Bock - Doppelbock,10,4.19,/beer/profile/62052/590510/,8.75,90.0,9210,3.82,Indiana,Active,"Jun 04, 2022",2022-02-18,1,1,USA,Indiana,Bock,Doppelbock,None
Defenestrator,27,Ardent Craft Ales,Bock - Doppelbock,19,4.11,/beer/profile/35261/170485/,8.2,90.0,9414,10.22,Virginia,Active,"Mar 30, 2022",2015-05-02,1,2,USA,Virginia,Bock,Doppelbock,None
Barrel Aged Frogichlaus,28,Hoppin' Frog Brewery,Bock - Doppelbock,12,4.15,/beer/profile/14879/436095/,14.1,90.0,9556,5.54,Ohio,Active,"Jun 03, 2022",2019-08-24,0,0,USA,Ohio,Bock,Doppelbock,"Creamy Swiss-style celebration lager, with a malty taste and aroma. Barrel aging adds great flavors, creating more depth and a satisfying complexity. Frogichlaus is mellow and soothing, the perfect beer to settle down from a cold winter's nap."
Twice As Nice Doppelbock,29,Hi-Wire Brewing,Bock - Doppelbock,46,4.06,/beer/profile/31724/200283/,10.0,90.0,9562,7.88,North Carolina,Active,"Dec 11, 2021",2015-11-20,3,8,USA,North Carolina,Bock,Doppelbock,None
Złotonator,30,Goldfinger Brewing Company,Bock - Doppelbock,12,4.14,/beer/profile/59683/530948/,7.2,90.0,9823,5.8,Illinois,Active,"May 22, 2022",2021-01-21,0,1,USA,Illinois,Bock,Doppelbock,"The Munich monks invented the Doppelbock to sustain them during lengthy fasts, particularly during lent. This beer has a nice rich malty sweetness, deep flavors of molasses, caramel, and dark fruit finish with an earthy mineral quality. Often referred to as “liquid bread.” We brewed ours in honor of the legend of the Wawel Castle in Krakow, Poland."
Samichlaus Classic,31,Brauerei Schloss Eggenberg,Bock - Doppelbock,2235,4.02,/beer/profile/285/776/,14.0,90.0,10007,16.17,Austria,Active,"Jun 03, 2022",2001-02-25,203,442,Austria,,Bock,Doppelbock,"The once strongest beer in the world is back! Brewed only once a year on December 6. Samichlaus is aged for 10 months before bottling. This beer is perhaps the rarest in the world. Samichlaus may be aged for many years to come. Older vintages become more complex with a creamy warming finish. Serve with hardy robust dishes and desserts, particulary with chocolates, or as an after dinner drink by itself. Brewed under the exclusive licence of Feldschlösschen-Hürlimann-Holding, Switzerland."
The Finest Doppelbock,32,Pipeworks Brewing Company,Bock - Doppelbock,11,4.14,/beer/profile/28178/576439/,6.9,90.0,10122,6.28,Illinois,Active,"Mar 30, 2022",2021-11-09,0,1,USA,Illinois,Bock,Doppelbock,"A Fine Doppelbock Lager.  A clean lager with toasty and nutty malts that contribute to flavors of brioche, hazelnuts, and chestnuts roasted on the fire (for real!)  It's a traditionally brewed beauty. If Unicorns - or goats for that matter - ponied up to a bar, they'd ask for ""the finest doppelbock"" and we'd have one for 'em."
